time,gen
7/31/08,3.67
8/31/08,3.22
9/30/08,2.98
10/31/08,3.41
11/30/08,3.67
12/31/08,3.66
1/31/09,3.97
2/28/09,3.9
3/31/09,4.52
4/30/09,5.23
5/31/09,5.23
6/30/09,4.3
7/31/09,4.37
8/31/09,4.46
9/30/09,4.49
10/31/09,4.22
11/30/09,4.41
12/31/09,4.52
1/31/10,4.5
2/28/10,4.61
3/31/10,4.79
4/30/10,5.17
5/31/10,4.73
6/30/10,5
7/31/10,5.02
8/31/10,4.81
9/30/10,5.23
10/31/10,5.31
11/30/10,5.45
12/31/10,5.34
1/31/11,5.53
2/28/11,5.6274
3/31/11,6.0725
4/30/11,5.9524
5/31/11,5.5279
6/30/11,5.8131
7/31/11,5.9248
8/31/11,5.699
9/30/11,5.7601
10/31/11,5.6362
11/30/11,5.7825
12/31/11,5.7639
1/31/12,5.5644
2/29/12,5.6727
3/31/12,5.8976
4/30/12,6.0079
5/31/12,5.7561
6/30/12,5.8035
7/31/12,5.6665
8/31/12,5.8037
9/30/12,5.5862
10/31/12,5.2222
11/30/12,5.6641
12/31/12,5.195
1/31/13,5.3322
2/28/13,5.28504872
3/31/13,5.07890067
4/30/13,5.43488732
5/31/13,5.89213833
6/30/13,5.97459246
7/31/13,5.70245454
8/31/13,5.33784897
9/30/13,5.20636966
10/31/13,5.04005539
11/30/13,5.42939789
12/31/13,5.56863635
1/31/14,5.0714
2/28/14,4.91153537
3/31/14,4.55850162
4/30/14,5.36408883
5/31/14,6.15375231
6/30/14,5.69211808
7/31/14,5.20184426
8/31/14,5.47832452
9/30/14,5.54654402
10/31/14,5.45078943
11/30/14,5.28167171
12/31/14,4.39177319
1/31/15,4.8385
2/28/15,5.50902024
3/31/15,6.08402259
4/30/15,5.58460218
5/31/15,4.99600019
6/30/15,4.99948823
7/31/15,4.90462562
8/31/15,4.69742847
9/30/15,4.65861078
10/31/15,4.35791958
11/30/15,4.12112598
12/31/15,4.42868655
1/31/16,4.5346
2/29/16,4.5477
3/31/16,4.8041
4/30/16,4.5854
5/31/16,4.3135
6/30/16,4.042
7/31/16,4.053
8/31/16,3.951
9/30/16,4.0501
10/31/16,4.3203
11/30/16,4.3259
12/31/16,4.6109
1/31/17,4.897
2/28/17,5.1196
3/31/17,5.2568
4/30/17,5.3781
5/31/17,5.1132
6/30/17,4.7947
7/31/17,4.8909
8/31/17,4.9655
9/30/17,5.0837
10/31/17,5.2424
11/30/17,5.1619
12/31/17,4.9876
1/31/18,5.0732
2/28/18,5.1941
3/31/18,5.447
4/30/18,5.6963
5/31/18,5.8087
6/30/18,5.2718
7/31/18,5.5686
8/31/18,5.5041
9/30/18,5.5009
10/31/18,5.4823
11/30/18,5.4861
12/31/18,5.4066
1/31/19,5.6221
2/28/19,6.1441
3/31/19,5.5476
4/30/19,5.8178
5/31/19,6.1824
6/30/19,6.232
7/31/19,6.1688
8/31/19,5.7819
9/30/19,5.3119
10/31/19,5.0255
11/30/19,5.0431
12/31/19,5.0466
1/31/20,5.6304
2/29/20,4.9722
3/31/20,4.6231
4/30/20,4.6495
5/31/20,4.6914
6/30/20,4.5892
7/31/20,4.6415
8/31/20,4.2644
9/30/20,4.2771
10/31/20,4.6607
11/30/20,4.4617
12/31/20,4.5958
1/31/21,4.7529
2/28/21,4.8039
3/31/21,4.5608
4/30/21,5.0594
5/31/21,5.496
6/30/21,6.1634
7/31/21,6.2385
8/31/21,6.2581
9/30/21,5.9246
10/31/21,5.9543
11/30/21,6.1618
12/31/21,6.8904
1/31/22,8.3585
2/28/22,8.4789
3/31/22,7.6563
4/30/22,7.5972
5/31/22,7.721
6/30/22,7.9731
7/31/22,9.5613
8/31/22,9.5686
9/30/22,9.5035
10/31/22,10.8312
11/30/22,10.8367
12/31/22,10.8979
1/31/23,9.6509
2/28/23,9.7925
3/31/23,9.8853
4/30/23,9.3312
5/31/23,8.9347
6/30/23,8.423
7/31/23,7.7064
8/31/23,7.3847
9/30/23,5.35